type,question,A,B,C,D,answer,label_A,label_B,label_C,label_D
Structure,Wai Lin in *Tomorrow Never Dies* and Evelyn Wang in *Everything Everywhere All At Once* … of Michelle Yeoh's famous roles.,they are two,two of them are,two of them,are two,D,Jawaban salah. Kalimat ini membutuhkan predikat agar menjadi klausa lengkap. Opsi D benar karena 'are two' melengkapi subjek Wai Lin...roles'.,Jawaban salah. Struktur ini tidak gramatikal karena urutan frasa tidak tepat.,Jawaban salah. Frasa ini tidak memiliki predikat sehingga tidak membentuk klausa lengkap.,Jawaban benar. Karena 'are two' melengkapi subjek Wai Lin...roles' sebagai klausa utama.
Structure,Joanne Kathleen Rowling born in Yate … famous as an author and philanthropist.,became,she was,and became,and she became,A,Jawaban benar. Kata kerja 'became' cocok dengan konteks lampau dan langsung mengikuti nama Joanne tanpa subjek tambahan.,Jawaban salah. Subjek 'she' tidak diperlukan karena subjek utamanya sudah disebutkan di awal kalimat.,Jawaban salah. Kata penghubung 'and' tidak diperlukan sebelum kata kerja.,Jawaban salah. Struktur ini menyebabkan kalimat menjadi runtuh karena terlalu banyak subjek dan predikat.
Structure,The then-Governor James Coyne … a reduction in the Canadian money supply in the early 1960s when the inflation began to rise.,ordered,are ordering,orders,will order,A,Jawaban benar. Kata kerja 'ordered' sesuai dengan waktu lampau ('in the early 1960s').,Jawaban salah. Bentuk progresif ini tidak sesuai karena subjek jamak dan bentuk progresif tidak diperlukan.,Jawaban salah. Bentuk present tense tidak sesuai dengan konteks masa lalu.,Jawaban salah. Future tense tidak cocok digunakan pada peristiwa masa lalu.
Structure,But along the jaded coastline of southeast Greenland some polar bears … as homebodies.,has survived,is surviving,they survived,are surviving,D,Jawaban salah. 'Has survived' tidak sesuai karena subjek jamak dan bentuk progresif tidak diperlukan.,Jawaban salah. 'Is surviving' tidak sesuai karena subjek jamak dan waktu kalimat tidak menyiratkan progresif saat ini.,Jawaban salah. Meskipun gramatikal, kalimat ini lebih tepat menggunakan bentuk progresif saat ini.,Jawaban benar. Bentuk 'are surviving' menunjukkan aktivitas yang sedang berlangsung saat ini.
Structure,The raw material of perception for all the senses consists of neural impulses … to differently specialized parts of the brain.,they are channeled,channeled are,which are channeled,which channeled are,C,Jawaban salah. Struktur ini tidak memiliki klausa relatif yang benar.,Jawaban salah. Urutan kata tidak gramatikal dalam klausa relatif.,Jawaban benar. 'which are channeled' adalah klausa relatif pasif yang tepat.,Jawaban salah. Urutan 'which channeled are' tidak gramatikal.
Structure,Some early tribes mistook the hyena's distinctive call which … to hysterical human laughter or the cries of lost souls.,to equated,some have equated,some equating,have equating,B,Jawaban salah. 'To equated' bukan bentuk verba yang valid.,Jawaban benar. 'some have equated' sesuai dengan pola klausa relatif dan waktu lampau.,Jawaban salah. 'equating' tidak dapat digunakan tanpa bantuan kata kerja utama.,Jawaban salah. 'have equating' adalah bentuk yang tidak gramatikal.
Structure,While it is traditionally assumed … designed for consumers, it is perhaps more accurate to say that the media content is actually geared towards the needs of advertisers.,that mass media content is,mass media content that is,that is mass media content,mass media content is that,A,Jawaban benar. Struktur 'that mass media content is' cocok dengan klausa benda setelah 'assumed'.,Jawaban salah. Urutan frasa tidak gramatikal dalam klausa benda.,Jawaban salah. Struktur klausa tidak logis.,Jawaban salah. Struktur 'mass media content is that' tidak gramatikal.
Structure,Commercial organizations spend a lot of effort and money on naming products devising slogans and creating messages … meaningful to the buying public.,will be that,that will be,will it be,that it will,B,Jawaban salah. 'will be that' tidak gramatikal dalam klausa relatif.,Jawaban benar. 'that will be' adalah klausa relatif aktif yang sesuai.,Jawaban salah. Struktur ini tidak membentuk klausa relatif yang benar.,Jawaban salah. 'that it will' tidak gramatikal dalam konteks ini.
Structure,Latin America… the deserts of northern Mexico to the icy wilds of Tierra del Fuego in Chile and Argentina encompasses many diverse countries and people.,extended from,that extended from,extending from,it extended,C,Jawaban salah. Partisip lampau tidak cocok untuk menjelaskan kondisi saat ini.,Jawaban salah. Struktur ini terlalu rumit dan tidak efektif.,Jawaban benar. 'extending from' adalah partisip aktif yang menjelaskan Latin America.,Jawaban salah. Subjek 'it' tidak diperlukan karena ada di tengah-tengah kalimat.
Structure,… and most cosmopolitan city Melbourne is home to people from over 100 nations.,Australia as the second-largest,Australia was the second-largest,Australia is the second-largest,Australia's second-largest,D,Jawaban salah. Struktur ini tidak gramatikal dan tidak memiliki hubungan logis dengan 'Melbourne'.,Kata 'was' tidak cocok untuk deskripsi geografis saat ini.,'Australia is...' tidak bisa menjadi pelengkap 'city'.,Jawaban benar. 'Australia's second-largest' adalah frasa kepemilikan yang tepat.
